LAB_ID,LATITUDE,LONGITUDE,TYPE,NAME,ATTRIBUTE,GEOL_AGE,STRUCT_SRC,Strat Unit or Age at Total Depth,Series/System,Formation,Member,TOC %,S1 (mg HC/g rock),S2 (mg HC/g rock),S3 (mg CO2/g rock),Tmax (degC),HI ((S2/TOC)*100),OI ((S3/TOC)*100),S2/S3,(S1/TOC)*100,PI (S1/(S1+S2)),S1+S2,Calculated %Ro,Number of %Ro Readings,Total Sample %Ro,Number of Indigenous %Ro Readings,Indigenous %Ro (mean),%Ro Standard Deviation,%Ro Mean Corrected for Suppression,TAI Color,Thermal Alteration Index (TAI),Amorphous Debris %,Finely Disseminated Organic Matter %,Herbaceous Plant Debris %,Woody Plant Debris %,Coaly Fragments %,Algal Debris %,Palynomorphs %,Preservation in Source Material,Recovery from Source Material,Indigenous Vitrinite %,Caved Vitrinite %,Recycled/Oxidized Vitrinite %,Inertinite %,Solid Bitumen %,Amorphous Kerogen %,Kerogen Composition Comments,CAI Min,CAI Max ,CAI Field Number,USGS ID Number,Strat Unit Sampled for Mineralogy,Quartz %,Feldspar %,Carbonate %,Illite/Smectite %,Illite %,Kaolinite %,Chlorite %,Pyrite %,Other Minerals %,Total Clay %,LOI %,,,,,
,41.940166,-80.551704,,,,,,,Upper Devonian,West Falls Formation,Rhinestreet Shale Member,,,,,,,,,,,,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41.940166,-80.551704,,,,,,,Upper Devonian,West Falls Formation,Rhinestreet Shale Member,,,,,,,,,,,,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41.940166,-80.551704,,,,,,,Upper Devonian,West Falls Formation,Rhinestreet Shale Member,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41.940166,-80.551704,,,,,,,Upper Devonian,West Falls Formation,Rhinestreet Shale Member,,,,,,,,,,,,,,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41.940166,-80.551704,,,,,,,Upper Devonian,West Falls Formation,Rhinestreet Shale Member,,,,,,,,,,,,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41.940166,-80.551704,,,,,,,Upper Devonian,West Falls Formation,Rhinestreet Shale Member,,,,,,,,,,,,,,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41.940166,-80.551704,,,,,,,Upper Devonian,West Falls Formation,Rhinestreet Shale Member,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41.940166,-80.551704,,,,,,,Upper Devonian,West Falls Formation,Rhinestreet Shale Member,,,,,,,,,,,,,,,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41.940166,-80.551704,,,,,,,Upper Devonian,West Falls Formation,Rhinestreet Shale Member,,,,,,,,,,,,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41.717108,-80.798212,,,,,,Conasauga Group,Upper Devonian,Ohio Shale,Huron Member,1.28,0.81,2.51,0.26,434,196,20,10,63,0.24,3.32,0.65,27,0.6,24,0.55,0.06,,"YO, O","2, 2.3",98,tr,2,,,,tr,good,good,1,tr,1,tr,,98,"palynomorphs, acritarchs, spores, Tasmanites?",,,,OH9000,Huron Member of Ohio Shale,37,2,0,0,36,5,14,3,1,55,1.95,,,,,y
